Player,Position,Date of Birth,Age,Caps,Team,Year
Michele Campagnaro,Centre,1993-03-13,25,38,Italy,2019
Tommaso Castello,Centre,1991-08-14,27,15,Italy,2019
Luca Morisi,Centre,1991-02-22,27,20,Italy,2019
Tommaso Benvenuti,Wing,1990-12-12,28,55,Italy,2019
Angelo Esposito,Wing,1993-06-14,25,15,Italy,2019
Luca Sperandio,Wing,1996-01-28,23,5,Italy,2019
Jayden Hayward,Fullback,1987-02-11,31,12,Italy,2019
Edoardo Padovani,Fullback,1993-05-15,25,15,Italy,2019
Oliviero Fabiani,Hooker,1990-07-03,28,7,Italy,2019
Engjel Makelara,Hooker,1996-08-22,22,0,Italy,2019
Nicola Quaglio,Prop,1991-03-09,27,8,Italy,2019
Marco Riccioni,Prop,1997-10-19,21,0,Italy,2019
Marco Fuser,Lock,1991-03-09,27,33,Italy,2019
Jake Polledri,Back row,1995-11-08,23,6,Italy,2019
Edoardo Gori,Scrum-half,1990-05-05,28,68,Italy,2019
Marco Zanon,Centre,1997-10-03,21,0,Italy,2019
David Cherry,Hooker,1991-01-03,28,0,Scotland,2019
Jake Kerr,Hooker,1996-04-13,22,0,Scotland,2019
Stuart McInally,Hooker,1990-08-09,28,22,Scotland,2019
Grant Stewart,Hooker,1995-02-28,23,0,Scotland,2019
Alex Allan,Prop,1992-02-29,26,7,Scotland,2019
Simon Berghan,Prop,1990-12-07,28,14,Scotland,2019
Jamie Bhatti,Prop,1993-09-08,25,11,Scotland,2019
Allan Dell,Prop,1992-03-16,26,17,Scotland,2019
WP Nel,Prop,1986-04-30,32,26,Scotland,2019
D'Arcy Rae,Prop,1994-12-21,24,0,Scotland,2019
Grant Gilchrist,Lock,1990-08-09,28,28,Scotland,2019
Jonny Gray,Lock,1994-03-14,24,47,Scotland,2019
Sam Skinner,Lock,1994-11-10,24,3,Scotland,2019
Tim Swinson,Lock,1987-02-17,31,38,Scotland,2019
Ben Toolis,Lock,1992-03-31,26,14,Scotland,2019
Adam Ashe,Back row,1993-07-24,25,6,Scotland,2019
Gary Graham,Back row,1992-08-29,26,0,Scotland,2019
John Hardie,Back row,1988-07-27,30,16,Scotland,2019
Jamie Ritchie,Back row,1996-08-16,22,6,Scotland,2019
Josh Strauss,Back row,1986-10-23,32,17,Scotland,2019
Hamish Watson,Back row,1991-10-15,27,23,Scotland,2019
Ryan Wilson,Back row,1989-05-18,29,41,Scotland,2019
George Horne,Scrum-half,1995-05-12,23,4,Scotland,2019
Greig Laidlaw (c),Scrum-half,1985-10-12,33,66,Scotland,2019
Ali Price,Scrum-half,1993-05-12,25,19,Scotland,2019
Adam Hastings,Fly-half,1996-10-05,22,7,Scotland,2019
Finn Russell,Fly-half,1992-09-23,26,40,Scotland,2019
Chris Dean,Centre,1994-03-15,24,0,Scotland,2019
Nick Grigg,Centre,1992-09-18,26,6,Scotland,2019
Chris Harris,Centre,1990-12-28,28,6,Scotland,2019
Peter Horne,Centre,1989-10-05,29,38,Scotland,2019
Sam Johnson,Centre,1993-06-19,25,0,Scotland,2019
Huw Jones,Centre,1993-12-17,25,19,Scotland,2019
Darcy Graham,Wing,1997-06-21,21,1,Scotland,2019
Lee Jones,Wing,1988-06-28,30,10,Scotland,2019
Sean Maitland,Wing,1988-09-14,30,37,Scotland,2019
Tommy Seymour,Wing,1988-07-01,30,46,Scotland,2019
Stuart Hogg,Fullback,1992-06-24,26,65,Scotland,2019
Blair Kinghorn,Fullback,1997-01-18,22,7,Scotland,2019
Fraser Brown,Hooker,1989-06-20,29,38,Scotland,2019
George Turner,Hooker,1992-10-08,26,5,Scotland,2019
Zander Fagerson,Prop,1996-01-19,23,18,Scotland,2019
Murray McCallum,Prop,1996-03-16,22,3,Scotland,2019
Gordon Reid,Prop,1987-03-04,32,33,Scotland,2019
Magnus Bradbury,Back row,1995-08-23,23,4,Scotland,2019
Luke Crosbie,Back row,1997-04-22,21,0,Scotland,2019
Matt Fagerson,Back row,1998-07-16,20,3,Scotland,2019
Rob Harley,Back row,1990-05-26,28,20,Scotland,2019
Matt Smith,Back row,1996-10-05,22,0,Scotland,2019
Henry Pyrgos,Scrum-half,1989-07-09,29,27,Scotland,2019
Duncan Weir,Fly-half,1991-05-10,27,27,Scotland,2019
Alex Dunbar,Centre,1990-04-23,28,31,Scotland,2019
James Johnstone,Centre,1990-04-17,28,0,Scotland,2019
Stafford McDowall,Centre,1998-02-24,20,0,Scotland,2019
Dougie Fife,Wing,1990-08-08,28,8,Scotland,2019
Rory Hughes,Wing,1993-03-04,25,4,Scotland,2019
Byron McGuigan,Wing,1986-10-23,32,6,Scotland,2019
Kyle Steyn,Wing,1994-01-21,25,0,Scotland,2019
Ruaridh Jackson,Fullback,1988-02-12,31,33,Scotland,2019
Elliot Dee,Hooker,1994-03-07,24,12,Wales,2019
Ryan Elias,Hooker,1995-01-07,24,6,Wales,2019
Ken Owens,Hooker,1987-01-03,32,59,Wales,2019
Leon Brown,Prop,1996-10-26,22,5,Wales,2019
Rob Evans,Prop,1992-04-14,26,30,Wales,2019
Tomas Francis,Prop,1992-04-27,26,35,Wales,2019
Wyn Jones,Prop,1992-02-26,26,10,Wales,2019
Samson Lee,Prop,1992-11-30,26,38,Wales,2019
Dillon Lewis,Prop,1996-01-04,23,7,Wales,2019
Nicky Smith,Prop,1994-04-07,24,23,Wales,2019
Jake Ball,Lock,1991-06-27,27,29,Wales,2019
Adam Beard,Lock,1996-01-07,23,7,Wales,2019
Seb Davies,Lock,1996-05-17,22,7,Wales,2019
Cory Hill,Lock,1992-02-10,26,21,Wales,2019
Alun Wyn Jones (c),Lock,1985-09-19,33,119,Wales,2019
Ross Moriarty,Back row,1994-04-18,24,25,Wales,2019
Josh Navidi,Back row,1990-12-30,28,11,Wales,2019
Justin Tipuric,Back row,1989-08-06,29,59,Wales,2019
Josh Turnbull,Back row,1988-03-12,30,10,Wales,2019
Aaron Wainwright,Back row,1997-09-25,21,2,Wales,2019
Thomas Young,Back row,1992-05-18,26,2,Wales,2019
Aled Davies,Scrum-half,1992-07-19,26,12,Wales,2019
Gareth Davies,Scrum-half,1990-08-18,28,35,Wales,2019
Tomos Williams,Scrum-half,1995-01-01,24,5,Wales,2019
Gareth Anscombe,Fly-half,1991-05-10,27,20,Wales,2019
Dan Biggar,Fly-half,1989-10-16,29,64,Wales,2019
Jarrod Evans,Fly-half,1996-07-25,22,1,Wales,2019
Rhys Patchell,Fly-half,1993-05-17,25,11,Wales,2019
Jonathan Davies,Centre,1988-04-05,30,67,Wales,2019
Hadleigh Parkes,Centre,1987-10-05,31,10,Wales,2019
Owen Watkin,Centre,1996-10-12,22,7,Wales,2019
Scott Williams,Centre,1990-10-10,28,57,Wales,2019
Josh Adams,Wing,1995-04-21,23,5,Wales,2019
Hallam Amos,Wing,1994-09-24,24,18,Wales,2019
Steff Evans,Wing,1994-09-01,24,12,Wales,2019
Jonah Holmes,Wing,1992-07-24,26,1,Wales,2019
George North,Wing,1992-04-13,26,78,Wales,2019
Leigh Halfpenny,Fullback,1988-12-22,30,80,Wales,2019
Liam Williams,Fullback,1991-04-09,27,50,Wales,2019
Tom Dunn,Hooker,1992-11-12,25,0,England,2018
Jamie George,Hooker,1990-10-20,27,20,England,2018
Dylan Hartley (c),Hooker,1986-03-24,31,89,England,2018
Lewis Boyce,Prop,1996-06-30,21,0,England,2018
Dan Cole,Prop,1987-05-09,30,77,England,2018
Alec Hepburn,Prop,1993-03-30,24,0,England,2018
Kyle Sinckler,Prop,1993-03-30,24,8,England,2018
Mako Vunipola,Prop,1991-01-14,27,44,England,2018
Harry Williams,Prop,1991-10-01,26,5,England,2018
Nick Isiekwe,Lock,1998-04-20,19,2,England,2018
Maro Itoje,Lock,1994-10-28,23,14,England,2018
George Kruis,Lock,1990-02-22,27,21,England,2018
Joe Launchbury,Lock,1991-04-12,26,47,England,2018
Courtney Lawes,Lock,1989-02-23,28,61,England,2018
Gary Graham,Flanker,1992-08-29,25,0,England,2018
Zach Mercer,Flanker,1997-02-28,20,0,England,2018
Chris Robshaw,Flanker,1986-06-04,31,59,England,2018
Sam Underhill,Flanker,1996-07-22,21,3,England,2018
Sam Simmonds,Number 8,1994-11-10,23,3,England,2018
Danny Care,Scrum-half,1987-01-02,31,76,England,2018
Ben Youngs,Scrum-half,1989-09-05,28,73,England,2018
George Ford,Fly-half,1993-03-16,24,40,England,2018
Alex Lozowski,Fly-half,1993-06-30,24,4,England,2018
Marcus Smith,Fly-half,1999-02-14,18,0,England,2018
Owen Farrell,Centre,1991-09-24,26,53,England,2018
Jonathan Joseph,Centre,1991-05-18,26,35,England,2018
Henry Slade,Centre,1993-03-19,24,10,England,2018
Ben Te'o,Centre,1987-01-27,31,8,England,2018
Nathan Earle,Wing,1994-09-25,23,0,England,2018
Jack Nowell,Wing,1993-04-11,24,23,England,2018
Jonny May,Wing,1990-04-01,27,29,England,2018
Denny Solomona,Wing,1993-09-27,24,2,England,2018
Anthony Watson,Wing,1994-02-26,23,28,England,2018
Mike Brown,Fullback,1985-09-04,32,64,England,2018
Harry Mallinder,Fullback,1996-06-13,21,0,England,2018
Luke Cowan-Dickie,Hooker,1993-06-20,24,6,England,2018
Joe Marler,Prop,1990-07-07,27,72,England,2018
Charlie Ewels,Lock,1995-06-29,22,6,England,2018
Don Armand,Flanker,1988-09-23,29,1,England,2018
James Haskell,Flanker,1985-04-02,32,75,England,2018
Nathan Hughes,Number 8,1991-06-10,26,12,England,2018
Sam Moore,Number 8,1998-09-09,19,0,England,2018
Richard Wigglesworth,Scrum-half,1983-06-09,34,27,England,2018
Gabriel Ibitoye,Centre,1998-03-05,19,0,England,2018
Elliot Daly,Wing,1992-10-08,25,16,England,2018
Camille Chat,Hooker,1995-12-18,22,10,France,2018
Guilhem Guirado (c),Hooker,1986-06-17,31,56,France,2018
Christopher Tolofua,Hooker,1993-12-31,24,7,France,2018
Eddy Ben Arous,Prop,1990-08-25,27,19,France,2018
Cedate Gomes Sa,Prop,1993-08-07,24,0,France,2018
Jefferson Poirot,Prop,1992-11-01,25,14,France,2018
Dany Priso,Prop,1994-01-02,24,0,France,2018
Rabah Slimani,Prop,1989-10-18,28,41,France,2018
Paul Gabrillagues,Lock,1993-06-03,24,2,France,2018
Arthur Iturria,Lock,1994-05-13,23,1,France,2018
Félix Lambey,Lock,1994-03-15,23,0,France,2018
Sébastien Vahaamahina,Lock,1991-10-21,26,28,France,2018
Yacouba Camara,Flanker,1994-06-02,23,6,France,2018
Kevin Gourdon,Flanker,1990-01-23,28,15,France,2018
Anthony Jelonch,Flanker,1996-07-28,21,2,France,2018
Wenceslas Lauret,Flanker,1989-03-28,28,12,France,2018
Sekou Macalou,Flanker,1995-04-20,22,1,France,2018
Marco Tauleigne,Number 8,1993-08-30,24,0,France,2018
Antoine Dupont,Scrum-half,1996-11-15,21,6,France,2018
Maxime Machenaud,Scrum-half,1988-12-30,29,31,France,2018
Morgan Parra,Scrum-half,1988-11-15,29,66,France,2018
Anthony Belleau,Fly-half,1996-04-08,21,2,France,2018
Matthieu Jalibert,Fly-half,1998-11-06,19,0,France,2018
Henry Chavancy,Centre,1988-05-22,29,3,France,2018
Jonathan Danty,Centre,1990-10-07,27,4,France,2018
Geoffrey Doumayrou,Centre,1989-09-16,28,2,France,2018
Rémi Lamerat,Centre,1990-01-14,28,16,France,2018
Benjamin Fall,Wing,1989-03-03,28,6,France,2018
Teddy Thomas,Wing,1993-09-18,24,8,France,2018
Virimi Vakatawa,Wing,1992-05-01,25,15,France,2018
Brice Dulin,Fullback,1990-04-13,27,29,France,2018
Geoffrey Palis,Fullback,1991-07-08,26,0,France,2018
Pierre Bougarit,Hooker,1997-09-12,25,0,France,2018
Adrien Pélissié,Hooker,1990-08-07,27,0,France,2018
Romain Taofifénua,Lock,1990-09-14,27,12,France,2018
Mathieu Babillot,Flanker,1993-09-09,24,0,France,2018
Alexandre Lapandry,Flanker,1989-04-13,28,10,France,2018
Bernard Le Roux,Flanker,1989-06-04,28,27,France,2018
Kélian Galletier,Number 8,1992-03-18,25,1,France,2018
Louis Picamoles,Number 8,1986-02-05,31,68,France,2018
Baptiste Couilloud,Scrum-half,1997-07-22,20,0,France,2018
Baptiste Serin,Scrum-half,1994-06-20,23,16,France,2018
Lionel Beauxis,Fly-half,1985-10-24,32,20,France,2018
François Trinh-Duc,Fly-half,1986-11-11,31,63,France,2018
Mathieu Bastareaud,Centre,1988-09-17,29,42,France,2018
Gaël Fickou,Centre,1994-03-26,23,32,France,2018
Rémy Grosso,Wing,1988-12-04,29,1,France,2018
Yoann Huget,Wing,1987-06-02,35,51,France,2018
Hugo Bonneval,Fullback,1990-11-19,27,9,France,2018
Rory Best (c),Hooker,1982-08-15,35,106,Ireland,2018
Seán Cronin,Hooker,1986-05-06,31,56,Ireland,2018
Rob Herring,Hooker,1990-08-27,27,3,Ireland,2018
Tadhg Furlong,Prop,1992-11-14,25,19,Ireland,2018
Cian Healy,Prop,1987-10-07,30,73,Ireland,2018
Dave Kilcoyne,Prop,1988-12-14,29,22,Ireland,2018
Jack McGrath,Prop,1989-10-11,28,42,Ireland,2018
Andrew Porter,Prop,1996-01-16,22,3,Ireland,2018
John Ryan,Prop,1988-08-02,29,11,Ireland,2018
Ultan Dillane,Lock,1993-11-09,24,11,Ireland,2018
Iain Henderson,Lock,1992-02-21,25,34,Ireland,2018
Quinn Roux,Lock,1990-10-30,27,3,Ireland,2018
James Ryan,Lock,1996-07-24,21,4,Ireland,2018
Devin Toner,Lock,1986-06-29,31,53,Ireland,2018
Dan Leavy,Flanker,1994-05-23,23,4,Ireland,2018
Jordi Murphy,Flanker,1991-04-22,26,18,Ireland,2018
Peter O'Mahony,Flanker,1989-09-17,28,42,Ireland,2018
Josh van der Flier,Flanker,1993-04-25,24,9,Ireland,2018
Jack Conan,Number 8,1992-07-29,25,5,Ireland,2018
CJ Stander,Number 8,1990-04-05,27,18,Ireland,2018
Kieran Marmion,Scrum-half,1992-02-11,25,18,Ireland,2018
Luke McGrath,Scrum-half,1993-02-03,25,6,Ireland,2018
Conor Murray,Scrum-half,1989-04-20,28,59,Ireland,2018
Joey Carbery,Fly-half,1995-11-01,22,6,Ireland,2018
Ian Keatley,Fly-half,1987-04-01,30,7,Ireland,2018
Johnny Sexton,Fly-half,1985-07-11,32,68,Ireland,2018
Bundee Aki,Centre,1990-04-07,27,2,Ireland,2018
Chris Farrell,Centre,1993-03-16,24,2,Ireland,2018
Robbie Henshaw,Centre,1993-06-12,24,31,Ireland,2018
Rory Scannell,Centre,1993-12-22,24,3,Ireland,2018
Andrew Conway,Wing,1991-07-11,26,6,Ireland,2018
Keith Earls,Wing,1987-10-02,30,62,Ireland,2018
Fergus McFadden,Wing,1986-06-17,31,32,Ireland,2018
Jacob Stockdale,Wing,1996-04-06,21,4,Ireland,2018
Rob Kearney,Fullback,1986-03-26,31,78,Ireland,2018
Jordan Larmour,Fullback,1997-06-10,20,0,Ireland,2018
Niall Scannell,Hooker,1992-04-08,25,7,Ireland,2018
James Cronin,Prop,1990-11-23,27,3,Ireland,2018
John Cooney,Scrum-half,1990-05-01,27,1,Ireland,2018
Garry Ringrose,Centre,1995-01-26,23,11,Ireland,2018
Luca Bigi,Hooker,1991-04-19,26,6,Italy,2018
Oliviero Fabiani,Hooker,1990-07-13,27,4,Italy,2018
Leonardo Ghiraldini,Hooker,1984-12-26,33,89,Italy,2018
Simone Ferrari,Prop,1994-03-28,23,8,Italy,2018
Andrea Lovotti,Prop,1989-07-28,28,20,Italy,2018
Tiziano Pasquali,Prop,1994-07-14,23,2,Italy,2018
Nicola Quaglio,Prop,1991-03-09,26,2,Italy,2018
Marco Riccioni,Prop,1997-10-19,20,0,Italy,2018
George Biagi,Lock,1985-10-04,32,19,Italy,2018
Dean Budd,Lock,1986-07-31,31,6,Italy,2018
Federico Ruzza,Lock,1994-08-04,23,3,Italy,2018
Alessandro Zanni,Lock,1984-01-31,34,99,Italy,2018
Renato Giammarioli,Flanker,1995-03-23,22,1,Italy,2018
Giovanni Licata,Flanker,1997-02-18,20,3,Italy,2018
Maxime Mbanda,Flanker,1993-04-10,24,11,Italy,2018
Sebastian Negri,Flanker,1994-06-30,23,2,Italy,2018
Sergio Parisse (c),Number 8,1983-09-12,34,129,Italy,2018
Braam Steyn,Number 8,1992-05-02,25,17,Italy,2018
Edoardo Gori,Scrum-half,1990-03-05,27,65,Italy,2018
Marcello Violi,Scrum-half,1993-10-11,24,8,Italy,2018
Tommaso Allan,Fly-half,1993-04-26,24,33,Italy,2018
Carlo Canna,Fly-half,1992-08-25,25,25,Italy,2018
Ian McKinley,Fly-half,1989-12-04,28,3,Italy,2018
Tommaso Benvenuti,Centre,1990-12-12,27,45,Italy,2018
Giulio Bisegni,Centre,1992-04-04,25,7,Italy,2018
Tommaso Boni,Centre,1993-01-15,25,8,Italy,2018
Tommaso Castello,Centre,1991-08-14,26,5,Italy,2018
Mattia Bellini,Wing,1994-02-08,23,8,Italy,2018
Matteo Minozzi,Wing,1996-06-04,21,3,Italy,2018
Jayden Hayward,Fullback,1987-02-11,30,3,Italy,2018
Edoardo Padovani,Fullback,1993-05-15,24,14,Italy,2018
Dario Chistolini,Prop,1988-09-14,29,20,Italy,2018
Federico Zani,Prop,1989-04-09,28,6,Italy,2018
Jake Polledri,Flanker,1995-11-08,22,0,Italy,2018
Guglielmo Palazzani,Scrum-half,1991-04-11,26,22,Italy,2018
Luca Morisi,Centre,1991-02-22,26,16,Italy,2018
Scott Lawson,Hooker,1981-09-28,36,46,Scotland,2018
Stuart McInally,Hooker,1990-08-09,27,12,Scotland,2018
George Turner,Hooker,1991-01-03,27,2,Scotland,2018
Simon Berghan,Prop,1990-12-07,27,5,Scotland,2018
Jamie Bhatti,Prop,1993-09-08,24,3,Scotland,2018
Murray McCallum,Prop,1996-03-16,21,0,Scotland,2018
Gordon Reid,Prop,1987-03-04,30,27,Scotland,2018
D'Arcy Rae,Prop,1994-12-21,23,0,Scotland,2018
Jon Welsh,Prop,1986-10-13,31,11,Scotland,2018
Grant Gilchrist,Lock,1990-08-09,27,18,Scotland,2018
Jonny Gray,Lock,1994-03-14,23,38,Scotland,2018
Richie Gray,Lock,1989-08-24,28,64,Scotland,2018
Ben Toolis,Lock,1992-03-31,25,7,Scotland,2018
John Barclay (c),Flanker,1986-09-24,31,66,Scotland,2018
Magnus Bradbury,Flanker,1995-08-23,22,2,Scotland,2018
Luke Hamilton,Flanker,1992-01-07,26,1,Scotland,2018
Rob Harley,Flanker,1990-05-26,27,20,Scotland,2018
Hamish Watson,Flanker,1991-10-15,26,15,Scotland,2018
David Denton,Number 8,1990-02-05,27,35,Scotland,2018
Cornell du Preez,Number 8,1991-03-23,26,5,Scotland,2018
Ryan Wilson,Number 8,1989-05-18,28,32,Scotland,2018
Nathan Fowles,Scrum-half,1993-04-08,24,0,Scotland,2018
Greig Laidlaw,Scrum-half,1985-10-12,32,58,Scotland,2018
Ali Price,Scrum-half,1993-05-12,24,11,Scotland,2018
Henry Pyrgos,Scrum-half,1989-07-09,28,27,Scotland,2018
Peter Horne,Fly-half,1989-10-05,28,28,Scotland,2018
Ruaridh Jackson,Fly-half,1988-02-12,29,32,Scotland,2018
Finn Russell,Fly-half,1992-09-23,25,32,Scotland,2018
Mark Bennett,Centre,1993-02-03,25,20,Scotland,2018
Alex Dunbar,Centre,1990-04-23,27,28,Scotland,2018
Nick Grigg,Centre,1992-09-18,25,1,Scotland,2018
Chris Harris,Centre,1990-12-28,27,1,Scotland,2018
Huw Jones,Centre,1993-12-17,24,11,Scotland,2018
Duncan Taylor,Centre,1989-09-05,28,21,Scotland,2018
Lee Jones,Wing,1988-06-28,29,7,Scotland,2018
Sean Maitland,Wing,1988-09-14,29,29,Scotland,2018
Byron McGuigan,Wing,1989-08-20,28,2,Scotland,2018
Tommy Seymour,Wing,1988-07-01,29,39,Scotland,2018
Stuart Hogg,Fullback,1992-06-24,25,55,Scotland,2018
Blair Kinghorn,Fullback,1997-01-18,21,0,Scotland,2018
Ryan Elias,Hooker,1995-01-07,23,2,Scarlets,2018
Rhodri Jones,Prop,1991-12-23,26,15,Wales,2018
Tomos Williams,Scrum-half,1995-01-01,23,0,Wales,2018
Scott Baldwin,Hooker,1988-07-12,29,34,Wales,2018
Elliot Dee,Hooker,1994-03-07,23,2,Wales,2018
Ken Owens,Hooker,1987-01-03,31,52,Wales,2018
Rob Evans,Prop,1992-04-14,25,20,Wales,2018
Tomas Francis,Prop,1992-04-27,25,26,Wales,2018
Wyn Jones,Prop,1992-02-26,25,5,Wales,2018
Samson Lee,Prop,1992-11-30,25,34,Wales,2018
Dillon Lewis,Prop,1996-01-04,22,2,Wales,2018
Nicky Smith,Prop,1994-04-07,23,16,Wales,2018
Adam Beard,Lock,1996-01-07,22,2,Wales,2018
Bradley Davies,Lock,1987-01-09,31,57,Wales,2018
Seb Davies,Lock,1996-05-15,21,3,Wales,2018
Cory Hill,Lock,1992-02-10,25,10,Wales,2018
Alun Wyn Jones (c),Lock,1985-09-19,32,113,Wales,2018
James Davies,Flanker,1990-10-25,27,0,Wales,2018
Ellis Jenkins,Flanker,1993-04-29,24,5,Wales,2018
Josh Navidi,Flanker,1990-12-30,27,7,Wales,2018
Aaron Shingler,Flanker,1987-08-07,30,13,Wales,2018
Justin Tipuric,Flanker,1989-08-06,28,52,Wales,2018
Taulupe Faletau,Number 8,1990-11-12,27,70,Wales,2018
Ross Moriarty,Number 8,1994-04-18,23,17,Wales,2018
Aled Davies,Scrum-half,1992-07-19,25,5,Wales,2018
Gareth Davies,Scrum-half,1990-08-18,27,27,Wales,2018
Rhys Webb,Scrum-half,1988-12-09,29,31,Wales,2018
Gareth Anscombe,Fly-half,1991-05-10,26,11,Wales,2018
Dan Biggar,Fly-half,1989-10-16,28,60,Wales,2018
Rhys Patchell,Fly-half,1993-05-17,24,5,Wales,2018
Rhys Priestland,Fly-half,1987-01-09,31,50,Wales,2018
Hadleigh Parkes,Centre,1987-10-05,30,1,Wales,2018
Owen Watkin,Centre,1996-10-12,21,2,Wales,2018
Owen Williams,Centre,1992-02-27,25,3,Wales,2018
Scott Williams,Centre,1990-10-10,27,51,Wales,2018
Josh Adams,Wing,1995-04-21,22,0,Wales,2018
Hallam Amos,Wing,1994-09-24,23,15,Wales,2018
Alex Cuthbert,Wing,1990-04-05,27,47,Wales,2018
Steff Evans,Wing,1994-09-01,23,5,Wales,2018
George North,Wing,1992-04-13,25,69,Wales,2018
Leigh Halfpenny,Fullback,1988-12-22,29,74,Wales,2018
Liam Williams,Fullback,1991-04-09,26,45,Wales,2018
Jamie George,Hooker,1990-10-20,26,12,England,2017
Dylan Hartley (c),Hooker,1986-03-24,30,79,England,2017
Tommy Taylor,Hooker,1991-11-11,25,1,England,2017
Dan Cole,Prop,1987-05-09,29,69,England,2017
Nathan Catt,Prop,1988-01-06,29,0,England,2017
Ellis Genge,Prop,1995-02-16,21,1,England,2017
Joe Marler,Prop,1990-07-07,26,46,England,2017
Matt Mullan,Prop,1987-02-23,29,13,England,2017
Kyle Sinckler,Prop,1993-03-10,23,4,England,2017
Charlie Ewels,Lock,1995-06-29,21,3,England,2017
George Kruis,Lock,1990-02-22,26,20,England,2017
Joe Launchbury,Lock,1991-04-12,25,37,England,2017
Courtney Lawes,Lock,1989-02-23,27,53,England,2017
Maro Itoje,Lock,1994-10-28,22,7,England,2017
Jack Clifford,Flanker,1993-02-12,23,8,England,2017
Teimana Harrison,Flanker,1992-09-05,24,5,England,2017
James Haskell,Flanker,1985-04-02,31,70,England,2017
Mike Williams,Flanker,1991-11-04,25,0,England,2017
Tom Wood,Flanker,1986-11-03,30,45,England,2017
Nathan Hughes,Number 8,1991-06-10,25,3,England,2017
Danny Care,Scrum-half,1987-01-02,30,66,England,2017
Ben Youngs,Scrum-half,1989-09-05,27,65,England,2017
Owen Farrell,Fly-half,1991-09-24,25,47,England,2017
George Ford,Fly-half,1993-03-16,23,30,England,2017
Alex Lozowski,Fly-half,1993-06-30,23,0,England,2017
Elliot Daly,Centre,1992-10-08,24,8,England,2017
Jonathan Joseph,Centre,1991-05-21,25,29,England,2017
Henry Slade,Centre,1993-03-19,23,4,England,2017
Ben Te'o,Centre,1987-01-27,30,3,England,2017
Jonny May,Wing,1990-04-01,26,22,England,2017
Jack Nowell,Wing,1993-04-11,23,18,England,2017
Anthony Watson,Wing,1994-02-26,22,24,England,2017
Marland Yarde,Wing,1992-04-20,24,11,England,2017
Mike Brown,Fullback,1985-09-04,31,55,England,2017
Paul Hill,Prop,1995-03-02,21,5,England,2017
Mako Vunipola,Prop,1991-01-13,26,39,England,2017
Billy Vunipola,Number 8,1992-11-03,24,32,England,2017
Henry Slade,Centre,1993-03-19,23,4,England,2017
Camille Chat,Hooker,1995-12-18,21,7,France,2017
Guilhem Guirado (c),Hooker,1986-06-17,36,46,France,2017
Clément Maynadier,Hooker,1988-10-11,28,2,France,2017
Uini Atonio,Prop,1990-03-26,26,20,France,2017
Cyril Baille,Prop,1993-09-15,23,3,France,2017
Eddy Ben Arous,Prop,1990-08-25,26,14,France,2017
Mohamed Boughanmi,Prop,1991-10-27,25,0,France,2017
Rabah Slimani,Prop,1989-10-18,27,31,France,2017
Arthur Iturria,Lock,1994-05-13,22,0,France,2017
Julien Le Devedec,Lock,1986-06-04,30,5,France,2017
Yoann Maestri,Lock,1988-01-14,29,51,France,2017
Sébastien Vahaamahina,Lock,1991-10-21,25,21,France,2017
Loann Goujon,Flanker,1989-04-23,27,13,France,2017
Kevin Gourdon,Flanker,1990-01-23,27,5,France,2017
Raphaël Lakafia,Flanker,1988-10-28,28,4,France,2017
Fabien Sanconnie,Flanker,1995-02-21,21,0,France,2017
Damien Chouly,Number 8,1985-11-27,31,43,France,2017
Louis Picamoles,Number 8,1986-02-05,30,57,France,2017
Maxime Machenaud,Scrum-half,1988-12-30,28,26,France,2017
Baptiste Serin,Scrum-half,1994-06-20,22,5,France,2017
Jean-Marc Doussain,Fly-half,1991-02-12,25,14,France,2017
Camille Lopez,Fly-half,1989-04-03,27,11,France,2017
Gaël Fickou,Centre,1994-03-26,22,24,France,2017
Wesley Fofana,Centre,1988-01-20,29,44,France,2017
Rémi Lamerat,Centre,1990-01-14,27,11,France,2017
Djibril Camara,Wing,1989-06-22,27,3,France,2017
Yann David,Wing,1988-04-15,28,4,France,2017
Yoann Huget,Wing,1987-06-02,29,42,France,2017
Noa Nakaitaci,Wing,1990-07-11,26,10,France,2017
Virimi Vakatawa,Wing,1992-05-01,24,8,France,2017
Geoffrey Palis,Fullback,1991-07-08,25,0,France,2017
Scott Spedding,Fullback,1986-05-04,30,18,France,2017
Christopher Tolofua,Hooker,1993-12-31,23,4,France,2017
Xavier Chiocci,Prop,1990-02-13,26,7,France,2017
Paul Jedrasiak,Lock,1993-02-06,23,5,France,2017
Bernard Le Roux,Flanker,1989-06-04,27,24,France,2017
Charles Ollivon,Flanker,1993-05-11,23,5,France,2017
Antoine Dupont,Scrum-half,1996-11-15,20,0,France,2017
François Trinh-Duc,Fly-half,1986-11-11,30,56,France,2017
Mathieu Bastareaud,Centre,1988-09-17,28,39,France,2017
Henry Chavancy,Centre,1988-05-22,28,0,France,2017
Jonathan Danty,Centre,1992-10-07,24,4,France,2017
Gabriel Lacroix,Wing,1993-10-10,23,0,France,2017
Brice Dulin,Fullback,1990-04-13,26,25,France,2017
Rory Best (c),Hooker,1982-08-15,34,100,Ireland,2017
Niall Scannell,Hooker,1992-04-08,24,0,Ireland,2017
James Tracy,Hooker,1991-04-02,25,1,Ireland,2017
Finlay Bealham,Prop,1991-10-09,25,6,Ireland,2017
Tadhg Furlong,Prop,1992-11-14,24,11,Ireland,2017
